population,priceout
73452,5901
26808,5879
69607,7868
33558,10677
33394,14944
2023,8319
11274,11302
5901,15516
5939,21916
41683,5901
15332,5879
39770,8029
18790,10908
19206,15268
1113,8319
6644,11544
3273,15862
3460,22403
25909,5896
9493,5870
24454,7851
11702,10654
11711,14911
733,8305
4018,11277
2173,15481
2107,21867
36823,5901
13303,5879
35078,7868
16808,10677
16790,14944
964,8319
5804,11302
2950,15516
2952,21916
17513,6141
6477,5879
16855,7868
8002,10677
8074,14944
451,8319
2649,11302
1422,15516
1403,21916
15990,5905
5941,5883
15426,7948
7379,10792
7610,15106
450,8325
2570,11423
1287,15689
1350,22159
25807,6234
9199,5970
24394,7970
11840,10796
11753,15098
681,8455
4086,11455
2087,15694
1986,22148
14553,5901
5416,5879
13975,7868
6703,10677
6679,14944
409,8319
2234,11302
1195,15516
1155,21916
