prf,pop,age,zipx,zipy,tob,zip
1,22363,0,0,0,0,0
2,8123,1,0,0,0,0
3,21466,2,0,0,0,0
4,10314,3,0,0,0,0
5,10398,4,0,0,0,0
6,623,1,0,0,1,0
7,3442,2,0,0,1,0
8,1749,3,0,0,1,0
9,1880,4,0,0,1,0
10,20685,0,71,-50,0,1
11,7634,1,71,-50,0,1
12,19584,2,71,-50,0,1
13,9441,3,71,-50,0,1
14,9576,4,71,-50,0,1
15,565,1,71,-50,1,1
16,3187,2,71,-50,1,1
17,1693,3,71,-50,1,1
18,1669,4,71,-50,1,1
19,12851,0,-80,99,0,2
20,4654,1,-80,99,0,2
21,12169,2,-80,99,0,2
22,5755,3,-80,99,0,2
23,5828,4,-80,99,0,2
24,371,1,-80,99,1,2
25,1952,2,-80,99,1,2
26,993,3,-80,99,1,2
27,1035,4,-80,99,1,2
