prf,pop,age,zipx,zipy,tob
1,22363,0,0,0,0
2,8123,1,0,0,0
3,21466,2,0,0,0
4,10314,3,0,0,0
5,10398,4,0,0,0
6,623,1,0,0,1
7,3442,2,0,0,1
8,1749,3,0,0,1
9,1880,4,0,0,1
10,20685,0,71,-50,0
11,7634,1,71,-50,0
12,19584,2,71,-50,0
13,9441,3,71,-50,0
14,9576,4,71,-50,0
15,565,1,71,-50,1
16,3187,2,71,-50,1
17,1693,3,71,-50,1
18,1669,4,71,-50,1
19,12851,0,-80,99,0
20,4654,1,-80,99,0
21,12169,2,-80,99,0
22,5755,3,-80,99,0
23,5828,4,-80,99,0
24,371,1,-80,99,1
25,1952,2,-80,99,1
26,993,3,-80,99,1
27,1035,4,-80,99,1
