prf,pop,age,zipx,zipy,tob,zip
1,29087,0,0,0,0,0
2,10768,1,0,0,0,0
3,27886,2,0,0,0,0
4,13261,3,0,0,0,0
5,13212,4,0,0,0,0
6,768,1,0,0,1,0
7,4442,2,0,0,1,0
8,2347,3,0,0,1,0
9,2392,4,0,0,1,0
10,16610,0,7,67,0,1
11,6161,1,7,67,0,1
12,15630,2,7,67,0,1
13,7511,3,7,67,0,1
14,7518,4,7,67,0,1
15,435,1,7,67,1,1
16,2646,2,7,67,1,1
17,1272,3,7,67,1,1
18,1286,4,7,67,1,1
19,10295,0,22,-85,0,2
20,3798,1,22,-85,0,2
21,9768,2,22,-85,0,2
22,4675,3,22,-85,0,2
23,4769,4,22,-85,0,2
24,259,1,22,-85,1,2
25,1577,2,22,-85,1,2
26,812,3,22,-85,1,2
27,815,4,22,-85,1,2
