prf,pop,age,zipx,zipy,tob
1,43698,0,0,0,0
2,15958,1,0,0,0
3,42217,2,0,0,0
4,20150,3,0,0,0
5,19914,4,0,0,0
6,1277,1,0,0,1
7,6766,2,0,0,1
8,3589,3,0,0,1
9,3476,4,0,0,1
10,24012,0,79,39,0
11,8837,1,79,39,0
12,22941,2,79,39,0
13,10862,3,79,39,0
14,10936,4,79,39,0
15,640,1,79,39,1
16,3744,2,79,39,1
17,1954,3,79,39,1
18,1942,4,79,39,1
19,11284,0,-26,-43,0
20,4150,1,-26,-43,0
21,10535,2,-26,-43,0
22,5084,3,-26,-43,0
23,5108,4,-26,-43,0
24,323,1,-26,-43,1
25,1773,2,-26,-43,1
26,865,3,-26,-43,1
27,860,4,-26,-43,1
28,12363,0,-90,-35,0
29,4474,1,-90,-35,0
30,11812,2,-90,-35,0
31,5658,3,-90,-35,0
32,5631,4,-90,-35,0
33,341,1,-90,-35,1
34,1847,2,-90,-35,1
35,1008,3,-90,-35,1
36,951,4,-90,-35,1
37,20704,0,66,-15,0
38,7491,1,66,-15,0
39,19363,2,66,-15,0
40,9267,3,66,-15,0
41,9272,4,66,-15,0
42,558,1,66,-15,1
43,3164,2,66,-15,1
44,1591,3,66,-15,1
45,1610,4,66,-15,1
