prf,pop,age,zipx,zipy,tob,zip
1,43698,0,0,0,0,0
2,15958,1,0,0,0,0
3,42217,2,0,0,0,0
4,20150,3,0,0,0,0
5,19914,4,0,0,0,0
6,1277,1,0,0,1,0
7,6766,2,0,0,1,0
8,3589,3,0,0,1,0
9,3476,4,0,0,1,0
10,24012,0,79,39,0,1
11,8837,1,79,39,0,1
12,22941,2,79,39,0,1
13,10862,3,79,39,0,1
14,10936,4,79,39,0,1
15,640,1,79,39,1,1
16,3744,2,79,39,1,1
17,1954,3,79,39,1,1
18,1942,4,79,39,1,1
19,11284,0,-26,-43,0,2
20,4150,1,-26,-43,0,2
21,10535,2,-26,-43,0,2
22,5084,3,-26,-43,0,2
23,5108,4,-26,-43,0,2
24,323,1,-26,-43,1,2
25,1773,2,-26,-43,1,2
26,865,3,-26,-43,1,2
27,860,4,-26,-43,1,2
28,12363,0,-90,-35,0,3
29,4474,1,-90,-35,0,3
30,11812,2,-90,-35,0,3
31,5658,3,-90,-35,0,3
32,5631,4,-90,-35,0,3
33,341,1,-90,-35,1,3
34,1847,2,-90,-35,1,3
35,1008,3,-90,-35,1,3
36,951,4,-90,-35,1,3
37,20704,0,66,-15,0,4
38,7491,1,66,-15,0,4
39,19363,2,66,-15,0,4
40,9267,3,66,-15,0,4
41,9272,4,66,-15,0,4
42,558,1,66,-15,1,4
43,3164,2,66,-15,1,4
44,1591,3,66,-15,1,4
45,1610,4,66,-15,1,4
