population,priceout
60621,6277
22171,6180
57294,8281
27525,11119
27410,15591
1669,8770
9305,11922
4888,16179
4918,22887
34682,6124
12553,6076
32947,8160
15555,11138
16109,15540
908,8615
5473,11740
2661,16207
2873,22811
21234,6255
7594,6166
20291,8223
9776,11100
9558,15528
588,8749
3388,11834
1817,16150
1725,22792
30481,6263
11215,6166
28954,8215
13799,11089
13947,15564
781,8749
4673,11823
2448,16133
2432,22847
14681,6209
5435,6145
13860,8241
6648,11082
6733,15557
388,8718
2283,11861
1186,16123
1190,22836
13215,6430
4751,6172
12663,8230
6052,11087
6162,15571
356,8758
2066,11845
1083,16131
1069,22856
21122,6303
7769,6180
20216,8205
9825,11167
9781,15696
577,8771
3287,11808
1726,16251
1613,23044
