prf,pop,age,zipx,zipy,tob,zip
1,34484,0,0,0,0,0
2,12588,1,0,0,0,0
3,32922,2,0,0,0,0
4,16008,3,0,0,0,0
5,15810,4,0,0,0,0
6,974,1,0,0,1,0
7,5310,2,0,0,1,0
8,2757,3,0,0,1,0
9,2784,4,0,0,1,0
10,19194,0,7,-54,0,1
11,7003,1,7,-54,0,1
12,18474,2,7,-54,0,1
13,8795,3,7,-54,0,1
14,8778,4,7,-54,0,1
15,586,1,7,-54,1,1
16,3010,2,7,-54,1,1
17,1611,3,7,-54,1,1
18,1560,4,7,-54,1,1
19,16597,0,75,34,0,2
20,6131,1,75,34,0,2
21,15743,2,75,34,0,2
22,7441,3,75,34,0,2
23,7660,4,75,34,0,2
24,478,1,75,34,1,2
25,2599,2,75,34,1,2
26,1391,3,75,34,1,2
27,1354,4,75,34,1,2
28,13398,0,-7,71,0,3
29,4895,1,-7,71,0,3
30,12726,2,-7,71,0,3
31,6203,3,-7,71,0,3
32,6113,4,-7,71,0,3
33,384,1,-7,71,1,3
34,2065,2,-7,71,1,3
35,1110,3,-7,71,1,3
36,1064,4,-7,71,1,3
