prf,pop,age,zipx,zipy,tob
1,34484,0,0,0,0
2,12588,1,0,0,0
3,32922,2,0,0,0
4,16008,3,0,0,0
5,15810,4,0,0,0
6,974,1,0,0,1
7,5310,2,0,0,1
8,2757,3,0,0,1
9,2784,4,0,0,1
10,19194,0,7,-54,0
11,7003,1,7,-54,0
12,18474,2,7,-54,0
13,8795,3,7,-54,0
14,8778,4,7,-54,0
15,586,1,7,-54,1
16,3010,2,7,-54,1
17,1611,3,7,-54,1
18,1560,4,7,-54,1
19,16597,0,75,34,0
20,6131,1,75,34,0
21,15743,2,75,34,0
22,7441,3,75,34,0
23,7660,4,75,34,0
24,478,1,75,34,1
25,2599,2,75,34,1
26,1391,3,75,34,1
27,1354,4,75,34,1
28,13398,0,-7,71,0
29,4895,1,-7,71,0
30,12726,2,-7,71,0
31,6203,3,-7,71,0
32,6113,4,-7,71,0
33,384,1,-7,71,1
34,2065,2,-7,71,1
35,1110,3,-7,71,1
36,1064,4,-7,71,1
