population,priceout
61347,6110
22510,6065
58988,8108
28145,10924
28183,15198
1752,8598
9454,11663
4923,15887
4880,22297
33811,6112
12317,6057
32213,8100
15344,10713
15059,14975
952,8585
5252,11651
2836,15569
2653,21963
15591,6115
5694,6065
14723,8108
7076,10924
7119,15198
426,8598
2452,11663
1247,15887
1201,22297
17585,6123
6346,6049
16631,8072
7908,10874
7806,15122
473,8574
2666,11608
1344,15811
1370,22184
28851,6108
10434,6051
26808,8089
12817,10909
13000,15251
803,8576
4450,11634
2296,15863
2245,22377
11100,6115
4176,6080
10764,8134
5081,10897
5071,15262
290,8620
1744,11701
891,15846
902,22394
