population,priceout
54817,6131
20044,5992
52778,7900
25112,10662
25014,14915
1595,8488
8454,11351
4515,15493
4290,21873
29976,6171
10968,6038
28682,7996
13670,10852
13583,15180
817,8557
4670,11494
2455,15779
2400,22270
14025,6094
5151,6026
13141,7900
6343,10658
6379,14909
404,8540
2215,11351
1099,15487
1085,21864
15560,6094
5655,6026
14750,8048
6983,10870
6994,15206
428,8540
2331,11573
1249,15805
1189,22310
25826,6151
9377,5991
24146,8004
11598,10852
11539,15180
699,8487
3981,11507
2018,15779
1995,22270
