prf,pop,age,zipx,zipy,tob,zip
1,27221,0,0,0,0,0
2,10068,1,0,0,0,0
3,25895,2,0,0,0,0
4,12502,3,0,0,0,0
5,12486,4,0,0,0,0
6,802,1,0,0,1,0
7,4303,2,0,0,1,0
8,2182,3,0,0,1,0
9,2159,4,0,0,1,0
10,12078,0,19,-65,0,1
11,4423,1,19,-65,0,1
12,11528,2,19,-65,0,1
13,5373,3,19,-65,0,1
14,5362,4,19,-65,0,1
15,337,1,19,-65,1,1
16,1899,2,19,-65,1,1
17,944,3,19,-65,1,1
18,909,4,19,-65,1,1
19,16628,0,93,-72,0,2
20,6020,1,93,-72,0,2
21,15877,2,93,-72,0,2
22,7539,3,93,-72,0,2
23,7708,4,93,-72,0,2
24,472,1,93,-72,1,2
25,2562,2,93,-72,1,2
26,1390,3,93,-72,1,2
27,1333,4,93,-72,1,2
