prf,pop,age,zipx,zipy,tob
1,27221,0,0,0,0
2,10068,1,0,0,0
3,25895,2,0,0,0
4,12502,3,0,0,0
5,12486,4,0,0,0
6,802,1,0,0,1
7,4303,2,0,0,1
8,2182,3,0,0,1
9,2159,4,0,0,1
10,12078,0,19,-65,0
11,4423,1,19,-65,0
12,11528,2,19,-65,0
13,5373,3,19,-65,0
14,5362,4,19,-65,0
15,337,1,19,-65,1
16,1899,2,19,-65,1
17,944,3,19,-65,1
18,909,4,19,-65,1
19,16628,0,93,-72,0
20,6020,1,93,-72,0
21,15877,2,93,-72,0
22,7539,3,93,-72,0
23,7708,4,93,-72,0
24,472,1,93,-72,1
25,2562,2,93,-72,1
26,1390,3,93,-72,1
27,1333,4,93,-72,1
