prf,pop,age,zipx,zipy,tob,zip
1,72907,0,0,0,0,0
2,26588,1,0,0,0,0
3,68884,2,0,0,0,0
4,33128,3,0,0,0,0
5,33450,4,0,0,0,0
6,2006,1,0,0,1,0
7,11200,2,0,0,1,0
8,5943,3,0,0,1,0
9,5800,4,0,0,1,0
10,40669,0,7,-54,0,1
11,15021,1,7,-54,0,1
12,39158,2,7,-54,0,1
13,18458,3,7,-54,0,1
14,18603,4,7,-54,0,1
15,1078,1,7,-54,1,1
16,6290,2,7,-54,1,1
17,3249,3,7,-54,1,1
18,3262,4,7,-54,1,1
19,34877,0,75,34,0,2
20,12778,1,75,34,0,2
21,33080,2,75,34,0,2
22,15933,3,75,34,0,2
23,15756,4,75,34,0,2
24,970,1,75,34,1,2
25,5342,2,75,34,1,2
26,2774,3,75,34,1,2
27,2866,4,75,34,1,2
28,28253,0,-7,71,0,3
29,10440,1,-7,71,0,3
30,27044,2,-7,71,0,3
31,13023,3,-7,71,0,3
32,12711,4,-7,71,0,3
33,788,1,-7,71,1,3
34,4419,2,-7,71,1,3
35,2361,3,-7,71,1,3
36,2284,4,-7,71,1,3
37,21285,0,-34,-99,0,4
38,7820,1,-34,-99,0,4
39,20103,2,-34,-99,0,4
40,9731,3,-34,-99,0,4
41,9679,4,-34,-99,0,4
42,534,1,-34,-99,1,4
43,3317,2,-34,-99,1,4
44,1776,3,-34,-99,1,4
45,1703,4,-34,-99,1,4
46,17588,0,-96,28,0,5
47,6365,1,-96,28,0,5
48,16674,2,-96,28,0,5
49,7851,3,-96,28,0,5
50,7915,4,-96,28,0,5
51,451,1,-96,28,1,5
52,2723,2,-96,28,1,5
53,1404,3,-96,28,1,5
54,1351,4,-96,28,1,5
55,26015,0,-59,68,0,6
56,9680,1,-59,68,0,6
57,24981,2,-59,68,0,6
58,11866,3,-59,68,0,6
59,11832,4,-59,68,0,6
60,710,1,-59,68,1,6
61,4116,2,-59,68,1,6
62,2111,3,-59,68,1,6
63,2080,4,-59,68,1,6
64,10367,0,-44,-26,0,7
65,3861,1,-44,-26,0,7
66,9789,2,-44,-26,0,7
67,4669,3,-44,-26,0,7
68,4664,4,-44,-26,0,7
69,283,1,-44,-26,1,7
70,1609,2,-44,-26,1,7
71,868,3,-44,-26,1,7
72,836,4,-44,-26,1,7
