population,priceout
84669,6162
30898,6050
80818,7905
38796,10750
38680,15035
2326,8575
13035,11358
6863,15625
6881,22053
45750,6108
16871,6055
43337,7939
20741,10678
20770,14928
1270,8582
7159,11409
3730,15518
3657,21892
21148,6147
7772,6012
20168,7905
9649,10750
9368,15035
565,8519
3335,11358
1745,15625
1692,22053
23439,6147
8689,6107
22593,7973
10779,10750
10750,15035
626,8661
3645,11459
1853,15625
1981,22053
38870,6078
13966,6027
36938,7917
17798,10766
17802,15052
1066,8540
5953,11376
3163,15650
3212,22078
15121,6090
5474,6061
14435,7954
6994,10762
6931,15048
444,8592
2374,11431
1237,15644
1276,22072
25073,6219
9266,6025
24072,7917
11635,10750
11498,15035
688,8537
3842,11376
2055,15625
1997,22053
15992,6117
5907,6099
15581,8031
7310,10915
7230,15226
455,8648
2540,11547
1295,15873
1283,22339
9326,6090
3355,6055
8796,7900
4288,10729
4225,14992
259,8583
1472,11350
734,15594
724,21988
