prf,pop,age,zipx,zipy,tob
1,70712,0,0,0,0
2,26043,1,0,0,0
3,67042,2,0,0,0
4,32393,3,0,0,0
5,32451,4,0,0,0
6,1948,1,0,0,1
7,11068,2,0,0,1
8,5629,3,0,0,1
9,5610,4,0,0,1
10,31439,0,19,-65,0
11,11298,1,19,-65,0
12,29399,2,19,-65,0
13,14162,3,19,-65,0
14,14215,4,19,-65,0
15,866,1,19,-65,1
16,4805,2,19,-65,1
17,2520,3,19,-65,1
18,2453,4,19,-65,1
19,43483,0,93,-72,0
20,15740,1,93,-72,0
21,41018,2,93,-72,0
22,19753,3,93,-72,0
23,19748,4,93,-72,0
24,1217,1,93,-72,1
25,6737,2,93,-72,1
26,3504,3,93,-72,1
27,3411,4,93,-72,1
28,31577,0,68,-2,0
29,11540,1,68,-2,0
30,30493,2,68,-2,0
31,14631,3,68,-2,0
32,14411,4,68,-2,0
33,824,1,68,-2,1
34,5068,2,68,-2,1
35,2522,3,68,-2,1
36,2559,4,68,-2,1
37,18424,0,48,47,0
38,6839,1,48,47,0
39,17550,2,48,47,0
40,8416,3,48,47,0
41,8287,4,48,47,0
42,530,1,48,47,1
43,2895,2,48,47,1
44,1520,3,48,47,1
45,1479,4,48,47,1
46,27569,0,-88,59,0
47,10072,1,-88,59,0
48,26125,2,-88,59,0
49,12629,3,-88,59,0
50,12535,4,-88,59,0
51,770,1,-88,59,1
52,4313,2,-88,59,1
53,2272,3,-88,59,1
54,2213,4,-88,59,1
55,13273,0,19,-119,0
56,4927,1,19,-119,0
57,13024,2,19,-119,0
58,6133,3,19,-119,0
59,6112,4,19,-119,0
60,362,1,19,-119,1
61,2005,2,19,-119,1
62,1047,3,19,-119,1
63,978,4,19,-119,1
64,15516,0,-33,72,0
65,5635,1,-33,72,0
66,14648,2,-33,72,0
67,7168,3,-33,72,0
68,7170,4,-33,72,0
69,389,1,-33,72,1
70,2369,2,-33,72,1
71,1233,3,-33,72,1
72,1284,4,-33,72,1
