prf,pop,age,zipx,zipy,tob,zip
1,70712,0,0,0,0,0
2,26043,1,0,0,0,0
3,67042,2,0,0,0,0
4,32393,3,0,0,0,0
5,32451,4,0,0,0,0
6,1948,1,0,0,1,0
7,11068,2,0,0,1,0
8,5629,3,0,0,1,0
9,5610,4,0,0,1,0
10,31439,0,19,-65,0,1
11,11298,1,19,-65,0,1
12,29399,2,19,-65,0,1
13,14162,3,19,-65,0,1
14,14215,4,19,-65,0,1
15,866,1,19,-65,1,1
16,4805,2,19,-65,1,1
17,2520,3,19,-65,1,1
18,2453,4,19,-65,1,1
19,43483,0,93,-72,0,2
20,15740,1,93,-72,0,2
21,41018,2,93,-72,0,2
22,19753,3,93,-72,0,2
23,19748,4,93,-72,0,2
24,1217,1,93,-72,1,2
25,6737,2,93,-72,1,2
26,3504,3,93,-72,1,2
27,3411,4,93,-72,1,2
28,31577,0,68,-2,0,3
29,11540,1,68,-2,0,3
30,30493,2,68,-2,0,3
31,14631,3,68,-2,0,3
32,14411,4,68,-2,0,3
33,824,1,68,-2,1,3
34,5068,2,68,-2,1,3
35,2522,3,68,-2,1,3
36,2559,4,68,-2,1,3
37,18424,0,48,47,0,4
38,6839,1,48,47,0,4
39,17550,2,48,47,0,4
40,8416,3,48,47,0,4
41,8287,4,48,47,0,4
42,530,1,48,47,1,4
43,2895,2,48,47,1,4
44,1520,3,48,47,1,4
45,1479,4,48,47,1,4
46,27569,0,-88,59,0,5
47,10072,1,-88,59,0,5
48,26125,2,-88,59,0,5
49,12629,3,-88,59,0,5
50,12535,4,-88,59,0,5
51,770,1,-88,59,1,5
52,4313,2,-88,59,1,5
53,2272,3,-88,59,1,5
54,2213,4,-88,59,1,5
55,13273,0,19,-119,0,6
56,4927,1,19,-119,0,6
57,13024,2,19,-119,0,6
58,6133,3,19,-119,0,6
59,6112,4,19,-119,0,6
60,362,1,19,-119,1,6
61,2005,2,19,-119,1,6
62,1047,3,19,-119,1,6
63,978,4,19,-119,1,6
64,15516,0,-33,72,0,7
65,5635,1,-33,72,0,7
66,14648,2,-33,72,0,7
67,7168,3,-33,72,0,7
68,7170,4,-33,72,0,7
69,389,1,-33,72,1,7
70,2369,2,-33,72,1,7
71,1233,3,-33,72,1,7
72,1284,4,-33,72,1,7
