prf,pop,age,zipx,zipy,tob,zip
1,55209,0,0,0,0,0
2,20319,1,0,0,0,0
3,52323,2,0,0,0,0
4,25114,3,0,0,0,0
5,25116,4,0,0,0,0
6,1393,1,0,0,1,0
7,8610,2,0,0,1,0
8,4467,3,0,0,1,0
9,4446,4,0,0,1,0
10,50505,0,71,-50,0,1
11,18680,1,71,-50,0,1
12,48415,2,71,-50,0,1
13,23339,3,71,-50,0,1
14,23105,4,71,-50,0,1
15,1464,1,71,-50,1,1
16,7879,2,71,-50,1,1
17,4013,3,71,-50,1,1
18,4089,4,71,-50,1,1
19,31276,0,-80,99,0,2
20,11679,1,-80,99,0,2
21,30006,2,-80,99,0,2
22,14147,3,-80,99,0,2
23,14244,4,-80,99,0,2
24,885,1,-80,99,1,2
25,4769,2,-80,99,1,2
26,2560,3,-80,99,1,2
27,2594,4,-80,99,1,2
28,7757,0,-82,34,0,3
29,2850,1,-82,34,0,3
30,7495,2,-82,34,0,3
31,3566,3,-82,34,0,3
32,3535,4,-82,34,0,3
33,212,1,-82,34,1,3
34,1172,2,-82,34,1,3
35,635,3,-82,34,1,3
36,627,4,-82,34,1,3
37,18143,0,17,71,0,4
38,6565,1,17,71,0,4
39,17356,2,17,71,0,4
40,8324,3,17,71,0,4
41,8278,4,17,71,0,4
42,498,1,17,71,1,4
43,2933,2,17,71,1,4
44,1490,3,17,71,1,4
45,1470,4,17,71,1,4
46,16464,0,-72,-65,0,5
47,6131,1,-72,-65,0,5
48,15829,2,-72,-65,0,5
49,7658,3,-72,-65,0,5
50,7458,4,-72,-65,0,5
51,468,1,-72,-65,1,5
52,2472,2,-72,-65,1,5
53,1347,3,-72,-65,1,5
54,1315,4,-72,-65,1,5
55,16064,0,15,-63,0,6
56,5723,1,15,-63,0,6
57,15462,2,15,-63,0,6
58,7360,3,15,-63,0,6
59,7170,4,15,-63,0,6
60,440,1,15,-63,1,6
61,2510,2,15,-63,1,6
62,1250,3,15,-63,1,6
63,1327,4,15,-63,1,6
