prf,pop,age,zipx,zipy,tob
1,55209,0,0,0,0
2,20319,1,0,0,0
3,52323,2,0,0,0
4,25114,3,0,0,0
5,25116,4,0,0,0
6,1393,1,0,0,1
7,8610,2,0,0,1
8,4467,3,0,0,1
9,4446,4,0,0,1
10,50505,0,71,-50,0
11,18680,1,71,-50,0
12,48415,2,71,-50,0
13,23339,3,71,-50,0
14,23105,4,71,-50,0
15,1464,1,71,-50,1
16,7879,2,71,-50,1
17,4013,3,71,-50,1
18,4089,4,71,-50,1
19,31276,0,-80,99,0
20,11679,1,-80,99,0
21,30006,2,-80,99,0
22,14147,3,-80,99,0
23,14244,4,-80,99,0
24,885,1,-80,99,1
25,4769,2,-80,99,1
26,2560,3,-80,99,1
27,2594,4,-80,99,1
28,7757,0,-82,34,0
29,2850,1,-82,34,0
30,7495,2,-82,34,0
31,3566,3,-82,34,0
32,3535,4,-82,34,0
33,212,1,-82,34,1
34,1172,2,-82,34,1
35,635,3,-82,34,1
36,627,4,-82,34,1
37,18143,0,17,71,0
38,6565,1,17,71,0
39,17356,2,17,71,0
40,8324,3,17,71,0
41,8278,4,17,71,0
42,498,1,17,71,1
43,2933,2,17,71,1
44,1490,3,17,71,1
45,1470,4,17,71,1
46,16464,0,-72,-65,0
47,6131,1,-72,-65,0
48,15829,2,-72,-65,0
49,7658,3,-72,-65,0
50,7458,4,-72,-65,0
51,468,1,-72,-65,1
52,2472,2,-72,-65,1
53,1347,3,-72,-65,1
54,1315,4,-72,-65,1
55,16064,0,15,-63,0
56,5723,1,15,-63,0
57,15462,2,15,-63,0
58,7360,3,15,-63,0
59,7170,4,15,-63,0
60,440,1,15,-63,1
61,2510,2,15,-63,1
62,1250,3,15,-63,1
63,1327,4,15,-63,1
