population,priceout
58586,6134
21646,6010
55524,7991
26879,10782
26997,15032
1626,8516
9232,11487
4703,15674
4695,22048
26104,6243
9315,6113
24472,8112
11761,10956
11729,15319
711,8670
4022,11669
2100,15934
2011,22478
35913,6261
13097,6089
34113,8112
16450,10956
16290,15237
974,8633
5671,11669
2877,15934
2836,22356
26364,6243
9672,6079
25247,8072
12135,10898
11969,15237
692,8619
4156,11608
2102,15847
2152,22356
15058,6232
5563,6091
14371,8072
6933,10898
6943,15237
413,8638
2434,11608
1245,15847
1220,22356
22728,6080
8403,6015
21768,8029
10408,10828
10325,15108
623,8523
3431,11544
1828,15742
1768,22162
11151,6243
4021,6113
10548,8112
5089,10956
5097,15319
277,8670
1740,11669
879,15934
913,22478
