population,priceout
56475,6180
20847,5987
54070,7903
26022,10671
25587,14914
1610,8481
8795,11355
4500,15506
4600,21872
31702,6203
11403,5927
30419,7893
14528,10654
14466,14890
943,8390
4901,11341
2543,15481
2549,21835
27192,6226
9839,5961
26055,7959
12280,10747
12474,15020
766,8442
4200,11438
2232,15621
2247,22030
22183,6127
8114,6006
21216,7985
10150,10784
10155,15072
597,8510
3446,11477
1820,15677
1780,22108
16304,6204
6106,5957
15645,7934
7530,10654
7474,14890
518,8436
2463,11401
1329,15481
1316,21835
13545,6163
4917,6136
12956,8093
6267,10942
6225,15295
367,8704
2082,11640
1101,15913
1149,22443
