prf,pop,age,zipx,zipy,tob,zip
1,47186,0,0,0,0,0
2,17349,1,0,0,0,0
3,44905,2,0,0,0,0
4,21682,3,0,0,0,0
5,21715,4,0,0,0,0
6,1295,1,0,0,1,0
7,7332,2,0,0,1,0
8,3745,3,0,0,1,0
9,3816,4,0,0,1,0
10,43385,0,71,-50,0,1
11,15930,1,71,-50,0,1
12,41521,2,71,-50,0,1
13,19673,3,71,-50,0,1
14,19899,4,71,-50,0,1
15,1275,1,71,-50,1,1
16,6681,2,71,-50,1,1
17,3589,3,71,-50,1,1
18,3437,4,71,-50,1,1
19,27100,0,-80,99,0,2
20,9709,1,-80,99,0,2
21,25596,2,-80,99,0,2
22,12200,3,-80,99,0,2
23,12512,4,-80,99,0,2
24,694,1,-80,99,1,2
25,4168,2,-80,99,1,2
26,2146,3,-80,99,1,2
27,2180,4,-80,99,1,2
28,6583,0,-82,34,0,3
29,2324,1,-82,34,0,3
30,6211,2,-82,34,0,3
31,3083,3,-82,34,0,3
32,2972,4,-82,34,0,3
33,193,1,-82,34,1,3
34,993,2,-82,34,1,3
35,535,3,-82,34,1,3
36,507,4,-82,34,1,3
37,15566,0,17,71,0,4
38,5706,1,17,71,0,4
39,15025,2,17,71,0,4
40,7134,3,17,71,0,4
41,7068,4,17,71,0,4
42,430,1,17,71,1,4
43,2442,2,17,71,1,4
44,1250,3,17,71,1,4
45,1258,4,17,71,1,4
