prf,pop,age,zipx,zipy,tob
1,47186,0,0,0,0
2,17349,1,0,0,0
3,44905,2,0,0,0
4,21682,3,0,0,0
5,21715,4,0,0,0
6,1295,1,0,0,1
7,7332,2,0,0,1
8,3745,3,0,0,1
9,3816,4,0,0,1
10,43385,0,71,-50,0
11,15930,1,71,-50,0
12,41521,2,71,-50,0
13,19673,3,71,-50,0
14,19899,4,71,-50,0
15,1275,1,71,-50,1
16,6681,2,71,-50,1
17,3589,3,71,-50,1
18,3437,4,71,-50,1
19,27100,0,-80,99,0
20,9709,1,-80,99,0
21,25596,2,-80,99,0
22,12200,3,-80,99,0
23,12512,4,-80,99,0
24,694,1,-80,99,1
25,4168,2,-80,99,1
26,2146,3,-80,99,1
27,2180,4,-80,99,1
28,6583,0,-82,34,0
29,2324,1,-82,34,0
30,6211,2,-82,34,0
31,3083,3,-82,34,0
32,2972,4,-82,34,0
33,193,1,-82,34,1
34,993,2,-82,34,1
35,535,3,-82,34,1
36,507,4,-82,34,1
37,15566,0,17,71,0
38,5706,1,17,71,0
39,15025,2,17,71,0
40,7134,3,17,71,0
41,7068,4,17,71,0
42,430,1,17,71,1
43,2442,2,17,71,1
44,1250,3,17,71,1
45,1258,4,17,71,1
