prf,pop,age,zipx,zipy,tob,zip
1,56475,0,0,0,0,0
2,20847,1,0,0,0,0
3,54070,2,0,0,0,0
4,26022,3,0,0,0,0
5,25587,4,0,0,0,0
6,1610,1,0,0,1,0
7,8795,2,0,0,1,0
8,4500,3,0,0,1,0
9,4600,4,0,0,1,0
10,31702,0,7,-54,0,1
11,11403,1,7,-54,0,1
12,30419,2,7,-54,0,1
13,14528,3,7,-54,0,1
14,14466,4,7,-54,0,1
15,943,1,7,-54,1,1
16,4901,2,7,-54,1,1
17,2543,3,7,-54,1,1
18,2549,4,7,-54,1,1
19,27192,0,75,34,0,2
20,9839,1,75,34,0,2
21,26055,2,75,34,0,2
22,12280,3,75,34,0,2
23,12474,4,75,34,0,2
24,766,1,75,34,1,2
25,4200,2,75,34,1,2
26,2232,3,75,34,1,2
27,2247,4,75,34,1,2
28,22183,0,-7,71,0,3
29,8114,1,-7,71,0,3
30,21216,2,-7,71,0,3
31,10150,3,-7,71,0,3
32,10155,4,-7,71,0,3
33,597,1,-7,71,1,3
34,3446,2,-7,71,1,3
35,1820,3,-7,71,1,3
36,1780,4,-7,71,1,3
37,16304,0,-34,-99,0,4
38,6106,1,-34,-99,0,4
39,15645,2,-34,-99,0,4
40,7530,3,-34,-99,0,4
41,7474,4,-34,-99,0,4
42,518,1,-34,-99,1,4
43,2463,2,-34,-99,1,4
44,1329,3,-34,-99,1,4
45,1316,4,-34,-99,1,4
46,13545,0,-96,28,0,5
47,4917,1,-96,28,0,5
48,12956,2,-96,28,0,5
49,6267,3,-96,28,0,5
50,6225,4,-96,28,0,5
51,367,1,-96,28,1,5
52,2082,2,-96,28,1,5
53,1101,3,-96,28,1,5
54,1149,4,-96,28,1,5
