prf,pop,age,zipx,zipy,tob
1,67210,0,0,0,0
2,24748,1,0,0,0
3,64142,2,0,0,0
4,31054,3,0,0,0
5,30498,4,0,0,0
6,1867,1,0,0,1
7,10462,2,0,0,1
8,5350,3,0,0,1
9,5451,4,0,0,1
10,37755,0,7,-54,0
11,13690,1,7,-54,0
12,36234,2,7,-54,0
13,17230,3,7,-54,0
14,17221,4,7,-54,0
15,1116,1,7,-54,1
16,5799,2,7,-54,1
17,3002,3,7,-54,1
18,3034,4,7,-54,1
19,32428,0,75,34,0
20,11641,1,75,34,0
21,30933,2,75,34,0
22,14729,3,75,34,0
23,14798,4,75,34,0
24,908,1,75,34,1
25,4990,2,75,34,1
26,2623,3,75,34,1
27,2611,4,75,34,1
28,26144,0,-7,71,0
29,9644,1,-7,71,0
30,24776,2,-7,71,0
31,11999,3,-7,71,0
32,12086,4,-7,71,0
33,756,1,-7,71,1
34,4130,2,-7,71,1
35,2190,3,-7,71,1
36,2226,4,-7,71,1
37,19767,0,-34,-99,0
38,7214,1,-34,-99,0
39,18705,2,-34,-99,0
40,8875,3,-34,-99,0
41,8991,4,-34,-99,0
42,523,1,-34,-99,1
43,3029,2,-34,-99,1
44,1604,3,-34,-99,1
45,1519,4,-34,-99,1
46,15999,0,-96,28,0
47,6000,1,-96,28,0
48,15348,2,-96,28,0
49,7377,3,-96,28,0
50,7404,4,-96,28,0
51,506,1,-96,28,1
52,2485,2,-96,28,1
53,1294,3,-96,28,1
54,1259,4,-96,28,1
55,24120,0,-59,68,0
56,8921,1,-59,68,0
57,23093,2,-59,68,0
58,11179,3,-59,68,0
59,11008,4,-59,68,0
60,685,1,-59,68,1
61,3675,2,-59,68,1
62,1959,3,-59,68,1
63,1986,4,-59,68,1
