prf,pop,age,zipx,zipy,tob,zip
1,67210,0,0,0,0,0
2,24748,1,0,0,0,0
3,64142,2,0,0,0,0
4,31054,3,0,0,0,0
5,30498,4,0,0,0,0
6,1867,1,0,0,1,0
7,10462,2,0,0,1,0
8,5350,3,0,0,1,0
9,5451,4,0,0,1,0
10,37755,0,7,-54,0,1
11,13690,1,7,-54,0,1
12,36234,2,7,-54,0,1
13,17230,3,7,-54,0,1
14,17221,4,7,-54,0,1
15,1116,1,7,-54,1,1
16,5799,2,7,-54,1,1
17,3002,3,7,-54,1,1
18,3034,4,7,-54,1,1
19,32428,0,75,34,0,2
20,11641,1,75,34,0,2
21,30933,2,75,34,0,2
22,14729,3,75,34,0,2
23,14798,4,75,34,0,2
24,908,1,75,34,1,2
25,4990,2,75,34,1,2
26,2623,3,75,34,1,2
27,2611,4,75,34,1,2
28,26144,0,-7,71,0,3
29,9644,1,-7,71,0,3
30,24776,2,-7,71,0,3
31,11999,3,-7,71,0,3
32,12086,4,-7,71,0,3
33,756,1,-7,71,1,3
34,4130,2,-7,71,1,3
35,2190,3,-7,71,1,3
36,2226,4,-7,71,1,3
37,19767,0,-34,-99,0,4
38,7214,1,-34,-99,0,4
39,18705,2,-34,-99,0,4
40,8875,3,-34,-99,0,4
41,8991,4,-34,-99,0,4
42,523,1,-34,-99,1,4
43,3029,2,-34,-99,1,4
44,1604,3,-34,-99,1,4
45,1519,4,-34,-99,1,4
46,15999,0,-96,28,0,5
47,6000,1,-96,28,0,5
48,15348,2,-96,28,0,5
49,7377,3,-96,28,0,5
50,7404,4,-96,28,0,5
51,506,1,-96,28,1,5
52,2485,2,-96,28,1,5
53,1294,3,-96,28,1,5
54,1259,4,-96,28,1,5
55,24120,0,-59,68,0,6
56,8921,1,-59,68,0,6
57,23093,2,-59,68,0,6
58,11179,3,-59,68,0,6
59,11008,4,-59,68,0,6
60,685,1,-59,68,1,6
61,3675,2,-59,68,1,6
62,1959,3,-59,68,1,6
63,1986,4,-59,68,1,6
