prf,pop,age,zipx,zipy,tob,zip
1,60621,0,0,0,0,0
2,22171,1,0,0,0,0
3,57294,2,0,0,0,0
4,27525,3,0,0,0,0
5,27410,4,0,0,0,0
6,1669,1,0,0,1,0
7,9305,2,0,0,1,0
8,4888,3,0,0,1,0
9,4918,4,0,0,1,0
10,34682,0,7,67,0,1
11,12553,1,7,67,0,1
12,32947,2,7,67,0,1
13,15555,3,7,67,0,1
14,16109,4,7,67,0,1
15,908,1,7,67,1,1
16,5473,2,7,67,1,1
17,2661,3,7,67,1,1
18,2873,4,7,67,1,1
19,21234,0,22,-85,0,2
20,7594,1,22,-85,0,2
21,20291,2,22,-85,0,2
22,9776,3,22,-85,0,2
23,9558,4,22,-85,0,2
24,588,1,22,-85,1,2
25,3388,2,22,-85,1,2
26,1817,3,22,-85,1,2
27,1725,4,22,-85,1,2
28,30481,0,56,-24,0,3
29,11215,1,56,-24,0,3
30,28954,2,56,-24,0,3
31,13799,3,56,-24,0,3
32,13947,4,56,-24,0,3
33,781,1,56,-24,1,3
34,4673,2,56,-24,1,3
35,2448,3,56,-24,1,3
36,2432,4,56,-24,1,3
37,14681,0,59,54,0,4
38,5435,1,59,54,0,4
39,13860,2,59,54,0,4
40,6648,3,59,54,0,4
41,6733,4,59,54,0,4
42,388,1,59,54,1,4
43,2283,2,59,54,1,4
44,1186,3,59,54,1,4
45,1190,4,59,54,1,4
46,13215,0,-118,-17,0,5
47,4751,1,-118,-17,0,5
48,12663,2,-118,-17,0,5
49,6052,3,-118,-17,0,5
50,6162,4,-118,-17,0,5
51,356,1,-118,-17,1,5
52,2066,2,-118,-17,1,5
53,1083,3,-118,-17,1,5
54,1069,4,-118,-17,1,5
55,21122,0,-88,72,0,6
56,7769,1,-88,72,0,6
57,20216,2,-88,72,0,6
58,9825,3,-88,72,0,6
59,9781,4,-88,72,0,6
60,577,1,-88,72,1,6
61,3287,2,-88,72,1,6
62,1726,3,-88,72,1,6
63,1613,4,-88,72,1,6
