prf,pop,age,zipx,zipy,tob
1,60621,0,0,0,0
2,22171,1,0,0,0
3,57294,2,0,0,0
4,27525,3,0,0,0
5,27410,4,0,0,0
6,1669,1,0,0,1
7,9305,2,0,0,1
8,4888,3,0,0,1
9,4918,4,0,0,1
10,34682,0,7,67,0
11,12553,1,7,67,0
12,32947,2,7,67,0
13,15555,3,7,67,0
14,16109,4,7,67,0
15,908,1,7,67,1
16,5473,2,7,67,1
17,2661,3,7,67,1
18,2873,4,7,67,1
19,21234,0,22,-85,0
20,7594,1,22,-85,0
21,20291,2,22,-85,0
22,9776,3,22,-85,0
23,9558,4,22,-85,0
24,588,1,22,-85,1
25,3388,2,22,-85,1
26,1817,3,22,-85,1
27,1725,4,22,-85,1
28,30481,0,56,-24,0
29,11215,1,56,-24,0
30,28954,2,56,-24,0
31,13799,3,56,-24,0
32,13947,4,56,-24,0
33,781,1,56,-24,1
34,4673,2,56,-24,1
35,2448,3,56,-24,1
36,2432,4,56,-24,1
37,14681,0,59,54,0
38,5435,1,59,54,0
39,13860,2,59,54,0
40,6648,3,59,54,0
41,6733,4,59,54,0
42,388,1,59,54,1
43,2283,2,59,54,1
44,1186,3,59,54,1
45,1190,4,59,54,1
46,13215,0,-118,-17,0
47,4751,1,-118,-17,0
48,12663,2,-118,-17,0
49,6052,3,-118,-17,0
50,6162,4,-118,-17,0
51,356,1,-118,-17,1
52,2066,2,-118,-17,1
53,1083,3,-118,-17,1
54,1069,4,-118,-17,1
55,21122,0,-88,72,0
56,7769,1,-88,72,0
57,20216,2,-88,72,0
58,9825,3,-88,72,0
59,9781,4,-88,72,0
60,577,1,-88,72,1
61,3287,2,-88,72,1
62,1726,3,-88,72,1
63,1613,4,-88,72,1
